Date,CPI,,,,,,,,,
Jan-68,23.4,,,,,,,,,
Feb-68,23.3,,,,,,,,,
Mar-68,23.3,,,,,,,,,
Apr-68,23.2,,,,,,,,,
May-68,23.0,,,,,,,,,
Jun-68,22.8,,,,,,,,,
Jul-68,22.8,,,,,,,,,
Aug-68,22.7,,,,,,,,,
Sep-68,22.7,,,,,,,,,
Oct-68,22.7,,,,,,,,,
Nov-68,22.7,,,,,,,,,
Dec-68,22.7,,,,,,,,,
Jan-69,22.7,,,,,,,,,
Feb-69,22.7,,,,,,,,,
Mar-69,22.7,,,,,,,,,
Apr-69,22.6,,,,,,,,,
May-69,22.7,,,,,,,,,
Jun-69,22.7,,,,,,,,,
Jul-69,22.7,,,,,,,,,
Aug-69,22.7,,,,,,,,,
Sep-69,23.0,,,,,,,,,
Oct-69,23.0,,,,,,,,,
Nov-69,23.2,,,,,,,,,
Dec-69,23.3,,,,,,,,,
Jan-70,23.4,,,,,,,,,
Feb-70,23.4,,,,,,,,,
Mar-70,23.3,,,,,,,,,
Apr-70,23.3,,,,,,,,,
May-70,23.3,,,,,,,,,
Jun-70,23.3,,,,,,,,,
Jul-70,23.4,,,,,,,,,
Aug-70,23.3,,,,,,,,,
Sep-70,23.4,,,,,,,,,
Oct-70,23.4,,,,,,,,,
Nov-70,23.5,,,,,,,,,
Dec-70,23.5,,,,,,,,,
Jan-71,23.9,,,,,,,,,
Feb-71,24.0,,,,,,,,,
Mar-71,23.8,,,,,,,,,
Apr-71,23.6,,,,,,,,,
May-71,23.5,,,,,,,,,
Jun-71,23.5,,,,,,,,,
Jul-71,23.4,,,,,,,,,
Aug-71,23.5,,,,,,,,,
Sep-71,23.6,,,,,,,,,
Oct-71,23.9,,,,,,,,,
Nov-71,24.0,,,,,,,,,
Dec-71,24.2,,,,,,,,,
Jan-72,24.3,,,,,,,,,
Feb-72,24.3,,,,,,,,,
Mar-72,24.3,,,,,,,,,
Apr-72,24.4,,,,,,,,,
May-72,24.3,,,,,,,,,
Jun-72,24.4,,,,,,,,,
Jul-72,24.5,,,,,,,,,
Aug-72,24.5,,,,,,,,,
Sep-72,24.6,,,,,,,,,
Oct-72,24.6,,,,,,,,,
Nov-72,24.7,,,,,,,,,
Dec-72,25.0,,,,,,,,,
Jan-73,25.3,,,,,,,,,
Feb-73,25.5,,,,,,,,,
Mar-73,25.5,,,,,,,,,
Apr-73,25.8,,,,,,,,,
May-73,26.4,,,,,,,,,
Jun-73,26.7,,,,,,,,,
Jul-73,27.2,,,,,,,,,
Aug-73,27.5,,,,,,,,,
Sep-73,28.1,,,,,,,,,
Oct-73,28.5,,,,,,,,,
Nov-73,29.2,,,,,,,,,
Dec-73,29.6,,,,,,,,,
Jan-74,29.9,,,,,,,,,
Feb-74,30.9,,,,,,,,,
Mar-74,31.5,,,,,,,,,
Apr-74,31.2,,,,,,,,,
May-74,31.5,,,,,,,,,
Jun-74,31.7,,,,,,,,,
Jul-74,31.9,,,,,,,,,
Aug-74,32.2,,,,,,,,,
Sep-74,32.3,,,,,,,,,
Oct-74,32.5,,,,,,,,,
Nov-74,32.9,,,,,,,,,
Dec-74,33.2,,,,,,,,,
Jan-75,33.4,,,,,,,,,
Feb-75,33.5,,,,,,,,,
Mar-75,33.1,,,,,,,,,
Apr-75,33.0,,,,,,,,,
May-75,33.0,,,,,,,,,
Jun-75,33.0,,,,,,,,,
Jul-75,33.0,,,,,,,,,
Aug-75,33.2,,,,,,,,,
Sep-75,33.4,,,,,,,,,
Oct-75,33.3,,,,,,,,,
Nov-75,33.0,,,,,,,,,
Dec-75,33.5,,,,,,,,,
Jan-76,33.9,,,,,,,,,
Feb-76,33.6,,,,,,,,,
Mar-76,33.7,,,,,,,,,
Apr-76,33.6,,,,,,,,,
May-76,33.7,,,,,,,,,
Jun-76,34.1,,,,,,,,,
Jul-76,34.1,,,,,,,,,
Aug-76,34.2,,,,,,,,,
Sep-76,34.3,,,,,,,,,
Oct-76,34.3,,,,,,,,,
Nov-76,34.3,,,,,,,,,
Dec-76,34.8,,,,,,,,,
Jan-77,35.3,,,,,,,,,
Feb-77,35.3,,,,,,,,,
Mar-77,35.3,,,,,,,,,
Apr-77,35.1,,,,,,,,,
May-77,35.3,,,,,,,,,
Jun-77,35.4,,,,,,,,,
Jul-77,35.6,,,,,,,,,
Aug-77,35.9,,,,,,,,,
Sep-77,36.2,,,,,,,,,
Oct-77,36.2,,,,,,,,,
Nov-77,36.4,,,,,,,,,
Dec-77,36.6,,,,,,,,,
Jan-78,36.6,,,,,,,,,
Feb-78,36.9,,,,,,,,,
Mar-78,36.7,,,,,,,,,
Apr-78,36.7,,,,,,,,,
May-78,37.0,,,,,,,,,
Jun-78,37.6,,,,,,,,,
Jul-78,37.5,,,,,,,,,
Aug-78,38.1,,,,,,,,,
Sep-78,38.1,,,,,,,,,
Oct-78,38.1,,,,,,,,,
Nov-78,38.1,,,,,,,,,
Dec-78,38.1,,,,,,,,,
Jan-79,38.1,,,,,,,,,
Feb-79,38.2,,,,,,,,,
